"CU ID","Interfaz","Actor","Módulo","Submódulo","Caso de Uso (Op. Simple)","Entidades del Dominio","Precondiciones","Postcondiciones","Flujo principal","Flujos alternativos / excepciones","Dependencias CU","Puntos CU","Reglas de negocio","Plataforma"
"CU-001","Panel de Administración","Administrador","Seguridad","Roles","Consultar roles","rol","Administrador autenticado","Lista de roles con detalles visualizados","1. Administrador inicia sesión 2. Selecciona Panel de Administración 3. Abre menú Configuración → Roles 4. Sistema carga listado completo de roles disponibles 5. Muestra para cada rol: nombre, descripción y estado","1. No hay roles registrados: mostrar 'No hay roles. Contacte administrador' 2. Error conexión BD: mostrar 'Error al cargar roles. Intente nuevamente' 3. Sin permisos de acceso: mostrar 'No tiene permisos para consultar roles'","Ninguna","2","Mínimo 1 rol administrativo obligatorio; Listado es de solo lectura; Roles válidos: Administrador, Director, Asistente","Web"
"CU-002","Panel de Administración","Administrador","Seguridad","Usuarios","Crear usuario","usuario, rol","Administrador autenticado","Usuario creado con rol asignado","1. Administrador abre Panel Administración → Usuarios → Nuevo 2. Completa formulario: Nombre, Apellido, Tipo Documento, Número documento (valida NO duplicado), Email (valida NO duplicado), Teléfono, Contraseña 3. Selecciona Rol de lista desplegable 4. Sistema valida cada campo según esquema 5. Genera hash de contraseña 6. Confirma creación y muestra ID asignado","1. Email duplicado: 'Email ya está registrado' 2. Número documento duplicado: 'Documento ya existe en el sistema' 3. Contraseña débil: 'Debe tener 8+ caracteres, mayúscula y número' 4. Rol no existe: 'Seleccione rol válido' 5. Datos incompletos: resaltar campos requeridos 6. Error BD: 'Error al crear usuario. Intente nuevamente'","Ninguna","3","Email UNIQUE; Número documento UNIQUE; Todo usuario REQUIERE rol asignado (FK rol_id NOT NULL); Contraseña debe hashear antes de almacenar; Máximo 1 usuario por documento","Web"
"CU-003","Panel de Administración","Administrador","Seguridad","Usuarios","Consultar usuario","usuario, rol","Administrador autenticado","Lista de usuarios con detalles visualizados","1. Administrador abre Panel → Usuarios 2. Sistema carga lista paginada (máx 50 usuarios por página) 3. Muestra columnas: ID, Nombre, Email, Documento, Rol, Estado 4. Proporciona búsqueda por nombre o documento (insensible a mayúsculas) 5. Permite ordenar alfabéticamente o por fecha de creación 6. Seleccionar usuario muestra tarjeta con datos completos","1. No hay usuarios: 'No hay usuarios registrados' 2. Búsqueda sin resultados: 'No encontrado. Verifique el criterio' 3. Error BD: 'Error al cargar usuarios'","Ninguna","2","Solo muestra usuarios con permisos de acceso; Listado ordenado por fecha creación descendente; Usuario actual NO puede eliminarse desde aquí","Web"
"CU-004","Panel de Administración","Administrador","Seguridad","Usuarios","Modificar usuario","usuario, rol","Administrador autenticado y usuario existente","Usuario actualizado con cambios guardados","1. Administrador selecciona usuario de lista (CU-003) 2. Selecciona Editar 3. Abre formulario con campos actuales precargados 4. Modifica: Nombre, Apellido, Teléfono (siempre); Email, Documento (solo sin inscripciones); Rol (solo sin inscripciones activas) 5. Valida nuevos datos igual que CU-002 6. Muestra resumen de cambios 7. Confirma actualización","1. Email nuevo duplicado: 'Email ya en uso' 2. Usuario con inscripciones activas: 'No puede cambiar rol/documento. Usuario tiene inscripciones' 3. Usuario intenta auto-editarse: permitir solo teléfono/email 4. Error BD: 'Error al actualizar. Intente nuevamente'","CU-003","3","No cambiar documento si tiene transacciones; Rol solo modificable sin inscripciones activas; Máximo 1 edición simultánea por usuario","Web"
"CU-005","Panel de Administración","Administrador","Seguridad","Usuarios","Eliminar usuario","usuario","Administrador autenticado y usuario existente","Usuario marcado como inactivo (soft delete)","1. Administrador selecciona usuario (CU-003) 2. Selecciona Eliminar 3. Muestra confirmación: datos usuario + alerta 'Esta acción no se puede deshacer' 4. SI sin inscripciones: permite eliminar directamente 5. SI con inscripciones: muestra aviso con cantidad 6. Usuario confirma 7. Sistema marca como inactivo (soft delete)","1. Usuario con inscripciones activas: 'No puede eliminar. Usuario tiene [N] inscripciones activas' 2. Usuario es único Administrador: 'No puede eliminar único Administrador del sistema' 3. Error BD: 'Error al eliminar. Intente nuevamente' 4. Usuario cancela confirmación: vuelve a lista","CU-003","3","No eliminar si tiene inscripciones (integridad referencial); Soft delete obligatorio (preservar historial); Último Administrador NO se puede eliminar","Web"
"CU-006","Panel de Administración","Administrador","Mantenimiento","BD","Realizar Backup de BD","Todas","Administrador autenticado","Backup ejecutado con estado registrado","1. Administrador abre Panel Administración → Mantenimiento → Backup 2. Sistema muestra: última fecha de backup, tamaño BD, espacio disponible 3. Administrador selecciona 'Ejecutar Backup Ahora' 4. Sistema valida: acceso a almacenamiento disponible 5. Ejecuta backup completo de toda la BD (usuario, rol, alumno, curso, vehiculo, tipo_vehiculo, inscripcion, sesion, metodo_pago) 6. Muestra progreso en tiempo real 7. Confirma: 'Backup ejecutado exitosamente. Fecha: [timestamp], Tamaño: [MB]' 8. Registra operación en log del sistema","1. Sin acceso a almacenamiento: 'Error: No hay espacio disponible en destino' 2. BD no accesible: 'Error: No se puede acceder a la base de datos' 3. Operación en progreso: 'Espere. Backup en progreso. No cierre esta ventana' 4. Backup incompleto: 'Advertencia: Backup completado parcialmente. Contacte administrador' 5. Error de permisos: 'Error: Permisos insuficientes para ejecutar backup'","Ninguna","5","Backup incluye todas las tablas; Ejecutable solo por Administrador; Registra timestamp de ejecución; Requiere confirmación explícita; Espacio mínimo requerido: 500MB disponibles; Backup automático pueden ejecutarse fuera del horario laboral (configuración)","Web"
"CU-007","Portal de Dirección","Director","Académico","Alumnos","Registrar alumno","usuario","Director autenticado","Alumno registrado con ID asignado","1. Director abre Módulo Alumnos → Nuevo 2. Completa formulario: Nombre completo, Fecha nacimiento, Tipo documento, Número documento (valida NO duplicado), Teléfono (7+ dígitos), Email (opcional), Foto (opcional, máx 2MB) 3. Sistema calcula edad automáticamente 4. Valida cada campo según esquema 5. Previsualiza datos ingresados 6. Confirma creación y asigna ID alumno 7. Muestra confirmación con número de alumno asignado","1. Número documento duplicado: 'Este documento ya está registrado. Alumno: [Nombre]' 2. Email duplicado: 'Email ya en uso' 3. Datos inválidos (email, teléfono): mostrar error específico por campo 4. Fecha nacimiento inválida: 'Ingrese fecha válida' 5. Foto excede tamaño: 'Imagen debe ser menor a 2MB' 6. Datos incompletos: resaltar campos requeridos 7. Error BD: 'Error al registrar alumno. Intente nuevamente'","Ninguna","3","Número documento UNIQUE; Email UNIQUE si se proporciona; Edad se calcula automáticamente (NOW - fecha_nacimiento); Teléfono debe tener formato válido (7+ dígitos); Foto máx 2MB; Nombre y Documento son obligatorios","Web"
"CU-008","Portal de Dirección","Director","Académico","Alumnos","Consultar alumno","usuario","Director autenticado","Lista de alumnos con información completa visualizada","1. Director abre Módulo Alumnos 2. Sistema carga lista paginada (máx 50 alumnos por página) de alumnos activos 3. Muestra columnas: ID, Nombre, Documento, Edad, Teléfono 4. Proporciona búsqueda: por nombre (parcial, insensible a mayúsculas), por documento, por teléfono 5. Permite ordenar por nombre o fecha creación 6. Filtros opcionales: Activos/Inactivos, Por rango edad 7. Seleccionar alumno muestra tarjeta detalle: datos personales, historial de inscripciones, total de horas realizadas","1. No hay alumnos: 'No hay alumnos registrados. Cree uno nuevo' 2. Búsqueda sin resultados: 'No encontrado. Verifique nombre o documento' 3. Error BD: 'Error al cargar alumnos'","Ninguna","2","Listado solo incluye alumnos activos (soft delete); Búsqueda case-insensitive; Máx 50 registros por página; Edad calculada automáticamente","Web"
"CU-009","Portal de Dirección","Director","Académico","Alumnos","Modificar alumno","usuario","Alumno registrado","Alumno actualizado con cambios guardados","1. Director selecciona alumno de lista (CU-008) 2. Selecciona Editar 3. Abre formulario con datos actuales precargados 4. Permite modificar: Nombre, Teléfono, Email (siempre); Número documento (solo sin inscripciones) 5. Valida datos igual que CU-007 6. Muestra resumen de cambios realizados 7. Confirma actualización","1. Alumno con inscripciones activas: 'No puede cambiar documento. Usuario tiene inscripciones activas' 2. Nuevo documento duplicado: 'Documento duplicado' 3. Datos inválidos: mostrar error específico por campo 4. Error BD: 'Error al actualizar. Intente nuevamente'","CU-008","3","No cambiar documento si hay inscripciones; Cambios pueden ser auditados internamente; Nombre y Documento son obligatorios; Foto máx 2MB","Web"
"CU-010","Portal de Dirección","Director","Académico","Alumnos","Eliminar alumno","usuario","Alumno registrado","Alumno marcado como inactivo (soft delete)","1. Director selecciona alumno de lista (CU-008) 2. Selecciona Eliminar o Desactivar 3. Muestra diálogo: Nombre, Documento, cantidad de inscripciones asociadas, alerta 'Esta acción no se puede deshacer' 4. SI sin inscripciones: permite desactivar directamente 5. SI con inscripciones: muestra lista y aviso 6. Usuario confirma desactivación 7. Sistema marca como inactivo (soft delete)","1. Alumno con inscripciones activas: 'No puede desactivar. Tiene [N] inscripciones activas' 2. Alumno con pagos sin procesar: 'No puede desactivar. Resolver pagos primero' 3. Usuario cancela: Vuelve a lista 4. Error BD: 'Error al desactivar. Intente nuevamente'","CU-008","3","Soft delete: solo marcar inactivo; No eliminar datos (preservar historial); No desactivar si hay inscripciones en proceso","Web"
